img_id,pedestrian_id,bbox,keypoints,target
404,680,"[185, 71, 315, 665]","[0.4821936302601553, 0.09760643260847002, 2, 0.5248585097604935, 0.07634689935095361, 2, 0.44063692944813765, 0.07949645983354865, 2, 0.5719561040141136, 0.09629411574072211, 2, 0.3952016032269985, 0.09209470176392873, 2, 0.6952380952380952, 0.19548872180451127, 2, 0.34285714285714286, 0.17593984962406015, 1, 0.7111111111111111, 0.3593984962406015, 2, 0.2253968253968254, 0.2796992481203007, 1, 0.7047619047619048, 0.5022556390977444, 2, 0.07936507936507936, 0.32030075187969925, 1, 0.5841269841269842, 0.46466165413533833, 2, 0.3492063492063492, 0.46466165413533833, 2, 0.43492063492063493, 0.6541353383458647, 2, 0.35555555555555557, 0.6556390977443609, 2]","[0.40476190476190477, 0.8977443609022556]"
405,681,"[135, 268, 270, 630]","[0.07388233785342083, 0.1049254424387732, 2, 0.10405339184433224, 0.08445222723065482, 2, 0, 0, 0, 0.23228037130570578, 0.07105997367346449, 2, 0, 0, 0, 0.40370370370370373, 0.12222222222222222, 1, 0.2222222222222222, 0.18253968253968253, 1, 0.4888888888888889, 0.24761904761904763, 1, 0.362962962962963, 0.31587301587301586, 1, 0.26666666666666666, 0.2857142857142857, 2, 0.16666666666666666, 0.26666666666666666, 1, 0.5037037037037037, 0.4650793650793651, 1, 0.3814814814814815, 0.46825396825396826, 1, 0.5296296296296297, 0.6587301587301587, 1, 0.48148148148148145, 0.6603174603174603, 1]","[0.8055555555555556, 0.8301587301587302]"
405,682,"[152, 165, 291, 647]","[0.45940575111225235, 0.08829887397074021, 2, 0.5110095176712974, 0.07706835888721669, 2, 0.42444836086257676, 0.07507182287236805, 2, 0.5731559892262763, 0.1082642341192265, 2, 0.37339947351384406, 0.1045207290913853, 2, 0.6494845360824743, 0.22102009273570325, 2, 0.24054982817869416, 0.20401854714064915, 2, 0.7044673539518901, 0.36476043276661513, 2, 0.15120274914089346, 0.33384853168469864, 2, 0.7319587628865979, 0.35394126738794435, 2, 0.12027491408934708, 0.39258114374034003, 2, 0.5773195876288659, 0.48377125193199383, 2, 0.32989690721649484, 0.4945904173106646, 2, 0.711340206185567, 0.6692426584234931, 2, 0.40893470790378006, 0.7047913446676971, 2]","[0.6821305841924399, 0.8794435857805254]"
407,685,"[274, 105, 474, 563]","[0.5097675171285323, 0.13559704802652292, 2, 0.5227485611299355, 0.10321488971238553, 2, 0.4689012674944859, 0.11131042929091985, 2, 0, 0, 0, 0.410726959191902, 0.11859641491160075, 2, 0.620253164556962, 0.20959147424511546, 2, 0.2890295358649789, 0.21492007104795738, 2, 0.7194092827004219, 0.3197158081705151, 2, 0.14978902953586498, 0.27886323268206037, 2, 0.7025316455696202, 0.3321492007104796, 2, 0.04430379746835443, 0.32149200710479575, 2, 0.4873417721518987, 0.5044404973357016, 2, 0.35232067510548526, 0.5701598579040853, 2, 0.5780590717299579, 0.7460035523978685, 2, 0.6877637130801688, 0.650088809946714, 2]","[0.6466244725738397, 0.9120781527531083]"
407,686,"[199, 47, 483, 613]","[0.5062284177805583, 0.10482490103580787, 2, 0.5173141861266173, 0.07914991300964704, 2, 0.4655806005116755, 0.08629655916125883, 2, 0, 0, 0, 0.41787820338620973, 0.10773649761609416, 2, 0.5652173913043478, 0.2234910277324633, 1, 0.3747412008281574, 0.23491027732463296, 2, 0.5383022774327122, 0.36867862969004894, 1, 0.37060041407867494, 0.3866231647634584, 2, 0.6915113871635611, 0.33442088091353994, 1, 0.4989648033126294, 0.3197389885807504, 1, 0.577639751552795, 0.4812398042414356, 1, 0.4492753623188406, 0.4828711256117455, 1, 0.7515527950310559, 0.7145187601957586, 1, 0.4451345755693582, 0.6802610114192496, 2]","[0.5217391304347826, 0.8384991843393148]"
408,687,"[523, 39, 324, 657]","[0.3272316681369076, 0.13415399942923217, 2, 0.3692548667539827, 0.11718194708270442, 2, 0, 0, 0, 0.49604900051239886, 0.12182692983017518, 2, 0, 0, 0, 0.5802469135802469, 0.2252663622526636, 2, 0.5061728395061729, 0.228310502283105, 2, 0.7253086419753086, 0.2709284627092846, 2, 0.4567901234567901, 0.319634703196347, 2, 0.5771604938271605, 0.2222222222222222, 2, 0.2222222222222222, 0.2572298325722983, 2, 0.6697530864197531, 0.5768645357686454, 2, 0.5524691358024691, 0.573820395738204, 2, 0.5246913580246914, 0.7275494672754946, 2, 0.404320987654321, 0.7671232876712328, 2]","[0.7469135802469136, 0.904109589041096]"
409,689,"[275, 192, 480, 774]","[0.46066726466549746, 0.11475574589482246, 2, 0.4818564268352549, 0.08970654255460518, 2, 0.42358623086842184, 0.09956196681960874, 2, 0.5321806869884289, 0.09874068146419172, 2, 0.3984241007918348, 0.1250218128375344, 2, 0.5875, 0.1834625322997416, 2, 0.4166666666666667, 0.2351421188630491, 2, 0.6666666666666666, 0.21188630490956073, 1, 0.6166666666666667, 0.3333333333333333, 2, 0.84375, 0.18087855297157623, 2, 0.8270833333333333, 0.2842377260981912, 2, 0.5416666666666666, 0.5077519379844961, 1, 0.3875, 0.5051679586563308, 1, 0.575, 0.7093023255813954, 2, 0.26666666666666666, 0.7067183462532299, 2]","[0.26979166666666665, 0.8908268733850129]"
409,690,"[405, 192, 414, 778]","[0.3927938240489721, 0.09883903645588894, 2, 0.4232489619142364, 0.0829704612474938, 2, 0, 0, 0, 0.5139798934711688, 0.10289058757292602, 2, 0, 0, 0, 0.4057971014492754, 0.2159383033419023, 2, 0.5893719806763285, 0.2133676092544987, 2, 0.18840579710144928, 0.34832904884318766, 2, 0.43719806763285024, 0.30848329048843187, 1, 0.04589371980676329, 0.31748071979434445, 1, 0.15942028985507245, 0.2879177377892031, 1, 0.4444444444444444, 0.5167095115681234, 2, 0.5241545893719807, 0.5244215938303342, 2, 0.18357487922705315, 0.6452442159383034, 1, 0.6207729468599034, 0.7660668380462725, 2]","[0.5664251207729469, 0.9350899742930592]"
411,693,"[223, 24, 491, 496]","[0.44563625092497544, 0.198593138731313, 2, 0.45839493617027993, 0.1728974801612889, 2, 0.43243761101603967, 0.17855923543942978, 2, 0.5179911152926209, 0.15326658029451393, 2, 0, 0, 0, 0.604887983706721, 0.2318548387096774, 2, 0.41140529531568226, 0.24193548387096775, 2, 0.7413441955193483, 0.28225806451612906, 2, 0.3360488798370672, 0.3326612903225806, 2, 0.8737270875763747, 0.3165322580645161, 2, 0.2790224032586558, 0.3810483870967742, 2, 0.5987780040733197, 0.5403225806451613, 2, 0.45417515274949083, 0.5221774193548387, 2, 0.7515274949083504, 0.719758064516129, 2, 0.2606924643584521, 0.5241935483870968, 2]","[0.5132382892057027, 0.8256048387096775]"
411,694,"[163, 135, 444, 410]","[0.26115270376312893, 0.1582232803412441, 2, 0.278801958686402, 0.12689944009936996, 2, 0, 0, 0, 0.34204512216146415, 0.10831750097283438, 2, 0, 0, 0, 0.4391891891891892, 0.17804878048780487, 1, 0.28603603603603606, 0.21707317073170732, 2, 0.5878378378378378, 0.24634146341463414, 2, 0.2072072072072072, 0.2804878048780488, 2, 0.5743243243243243, 0.275609756097561, 2, 0.12837837837837837, 0.32682926829268294, 2, 0.5225225225225225, 0.5439024390243903, 2, 0.3963963963963964, 0.6170731707317073, 2, 0.6711711711711712, 0.7170731707317073, 2, 0.42342342342342343, 0.8853658536585366, 2]","[0.6745495495495495, 0.8804878048780488]"
412,696,"[36, 157, 415, 511]","[0.3825974253277338, 0.2009445230275069, 2, 0.4076812138744033, 0.17198281022411144, 2, 0.3396829919105401, 0.18351840769665034, 2, 0, 0, 0, 0.2858465101536639, 0.19006147847221633, 2, 0.5301204819277109, 0.21526418786692758, 1, 0.27710843373493976, 0.22896281800391388, 2, 0.6674698795180722, 0.27788649706457924, 2, 0.22650602409638554, 0.3268101761252446, 2, 0.5759036144578313, 0.33072407045009783, 2, 0.40481927710843374, 0.34442270058708413, 2, 0.5156626506024097, 0.5557729941291585, 1, 0.35903614457831323, 0.5518590998043053, 1, 0.744578313253012, 0.6105675146771037, 2, 0.2385542168674699, 0.5968688845401174, 2]","[0.48674698795180726, 0.885518590998043]"
414,699,"[230, 108, 211, 503]","[0.39731639544622477, 0.08092399589197272, 2, 0.40442193404976207, 0.07089816182766479, 2, 0.3378882543984585, 0.07414978368635924, 2, 0, 0, 0, 0.21321834980912283, 0.10883375017910002, 2, 0.5355450236966824, 0.17892644135188868, 1, 0.15165876777251186, 0.22465208747514911, 2, 0.8625592417061612, 0.3061630218687873, 1, 0.10900473933649289, 0.3836978131212724, 2, 0.6492890995260664, 0.39363817097415504, 1, 0.4881516587677725, 0.3976143141153082, 2, 0.6303317535545023, 0.4970178926441352, 1, 0.3412322274881517, 0.5129224652087475, 1, 0.8625592417061612, 0.709741550695825, 2, 0.27488151658767773, 0.7216699801192843, 2]","[0.5450236966824644, 0.8439363817097416]"
414,700,"[192, 166, 271, 468]","[0.9003151567111206, 0.16194283706468363, 2, 0.88775412755034, 0.20412964397689506, 2, 0.9379982441934624, 0.19831077405796943, 2, 0.7830788845438349, 0.2211013479070951, 2, 0, 0, 0, 0.5940959409594095, 0.1987179487179487, 2, 0.7822878228782287, 0.14743589743589744, 2, 0.6236162361623616, 0.27136752136752135, 2, 0.6162361623616236, 0.10042735042735043, 2, 0.6346863468634686, 0.31196581196581197, 2, 0.4797047970479705, 0.05128205128205128, 1, 0.4280442804428044, 0.3696581196581197, 2, 0.6605166051660517, 0.344017094017094, 2, 0.4944649446494465, 0.6495726495726496, 2, 0.9003690036900369, 0.5363247863247863, 2]","[0.8431734317343174, 0.7606837606837606]"
415,701,"[616, 29, 248, 681]","[0.35559962313248655, 0.10387889853545162, 2, 0.41710440127417087, 0.08148068270705561, 2, 0, 0, 0, 0.5657409484499076, 0.08148068270705561, 2, 0, 0, 0, 0.7217741935483871, 0.1762114537444934, 1, 0.4435483870967742, 0.15565345080763582, 1, 0.24596774193548387, 0.28928046989721, 2, 0.04838709677419355, 0.14977973568281938, 2, 0.06854838709677419, 0.29955947136563876, 2, 0.23387096774193547, 0.15565345080763582, 2, 0.7379032258064516, 0.5110132158590308, 2, 0.5483870967741935, 0.5110132158590308, 2, 0.8064516129032258, 0.7195301027900147, 2, 0.5362903225806451, 0.7165932452276065, 1]","[0.8467741935483871, 0.9273127753303965]"
416,703,"[116, 57, 367, 710]","[0.4767080073437149, 0.08534161885018302, 2, 0.5217765585201026, 0.07660561975771774, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.8283378746594006, 0.21971830985915494, 2, 0.49591280653950953, 0.21971830985915494, 2, 0.9237057220708447, 0.38591549295774646, 2, 0.2970027247956403, 0.33098591549295775, 1, 0.6975476839237057, 0.39154929577464787, 2, 0.08991825613079019, 0.36901408450704226, 1, 0.7384196185286104, 0.5507042253521127, 2, 0.47956403269754766, 0.5535211267605634, 1, 0.7929155313351499, 0.7309859154929578, 2, 0.4768392370572207, 0.7549295774647887, 1]","[0.6880108991825613, 0.9211267605633803]"
416,704,"[66, 37, 443, 730]","[0.5006250235662937, 0.1176461718800374, 2, 0, 0, 0, 0.4854018959848867, 0.09595661511991711, 2, 0, 0, 0, 0.3821493784762128, 0.10459227197811315, 2, 0.49209932279909707, 0.19863013698630136, 2, 0.15124153498871332, 0.23013698630136986, 2, 0.7042889390519187, 0.2054794520547945, 1, 0.07223476297968397, 0.36575342465753424, 2, 0.8893905191873589, 0.2232876712328767, 2, 0.11963882618510158, 0.4780821917808219, 2, 0.43792325056433407, 0.5493150684931507, 1, 0.22121896162528218, 0.547945205479452, 1, 0.43792325056433407, 0.7945205479452054, 1, 0.22573363431151242, 0.7958904109589041, 1]","[0.33069977426636565, 0.9739726027397261]"
417,705,"[197, 15, 252, 684]","[0.45815489483571076, 0.19818882824580517, 2, 0.5588034151420588, 0.15980670554356902, 2, 0.4307855603664407, 0.16696269452195203, 2, 0.7325382116215643, 0.17034710222919125, 2, 0, 0, 0, 0.7063492063492064, 0.2777777777777778, 2, 0.626984126984127, 0.2733918128654971, 2, 0.5753968253968254, 0.31871345029239767, 2, 0.5476190476190477, 0.3084795321637427, 2, 0.44047619047619047, 0.3508771929824561, 2, 0.4523809523809524, 0.32894736842105265, 2, 0.5198412698412699, 0.5380116959064327, 2, 0.36507936507936506, 0.5394736842105263, 2, 0.40476190476190477, 0.7149122807017544, 2, 0.05555555555555555, 0.7119883040935673, 1]","[0.17460317460317462, 0.8910818713450293]"
418,706,"[125, 92, 392, 905]","[0, 0, 0, 0.49893111213611685, 0.11323671777655359, 2, 0.40734226934747164, 0.11219272747782869, 2, 0, 0, 0, 0, 0, 0, 0.7244897959183674, 0.2596685082872928, 2, 0.28316326530612246, 0.2430939226519337, 2, 0.9056122448979592, 0.3425414364640884, 2, 0.12244897959183673, 0.3270718232044199, 2, 0.7346938775510204, 0.430939226519337, 2, 0.29591836734693877, 0.3878453038674033, 2, 0.5688775510204082, 0.532596685082873, 2, 0.33418367346938777, 0.5392265193370166, 2, 0.6275510204081632, 0.7381215469613259, 2, 0.2755102040816326, 0.7204419889502762, 2]","[0.4387755102040816, 0.9005524861878453]"
419,708,"[109, 93, 428, 906]","[0.2109552996140194, 0.15710601536846358, 2, 0.23370181990389627, 0.13835389549481103, 2, 0, 0, 0, 0.35055649276561673, 0.11328083633790481, 2, 0, 0, 0, 0.5093457943925234, 0.19426048565121412, 2, 0.397196261682243, 0.17328918322295805, 2, 0.6822429906542056, 0.32781456953642385, 2, 0.4322429906542056, 0.24503311258278146, 2, 0.5794392523364486, 0.45695364238410596, 2, 0.23130841121495327, 0.26379690949227375, 2, 0.6915887850467289, 0.48344370860927155, 2, 0.4649532710280374, 0.47240618101545256, 2, 0.514018691588785, 0.6887417218543046, 2, 0.3107476635514019, 0.6655629139072847, 2]","[0.6004672897196262, 0.890728476821192]"
419,709,"[0, 150, 665, 834]","[0.8024832673041845, 0.13653226710017125, 2, 0.8387188823091646, 0.11570855074066487, 2, 0.7946485397355401, 0.10946143583281298, 2, 0.9098843243910173, 0.11753062592212168, 2, 0, 0, 0, 0.956390977443609, 0.26019184652278177, 2, 0.7428571428571429, 0.16666666666666666, 2, 0.7804511278195488, 0.31894484412470026, 2, 0.5774436090225564, 0.1606714628297362, 1, 0.6045112781954888, 0.26019184652278177, 1, 0.45864661654135336, 0.19784172661870503, 1, 0.7293233082706767, 0.5167865707434053, 2, 0.5353383458646617, 0.5023980815347722, 1, 0.843609022556391, 0.7278177458033573, 2, 0.3022556390977444, 0.6486810551558753, 2]","[0.42105263157894735, 0.8411270983213429]"
420,710,"[154, 379, 225, 514]","[0.8556208373663776, 0.15401407971427572, 2, 0.8990809886376514, 0.12881962352720075, 2, 0.8168590808271337, 0.12213538004899717, 2, 0, 0, 0, 0, 0, 0, 0.84, 0.23735408560311283, 1, 0.39111111111111113, 0.19844357976653695, 2, 0.7244444444444444, 0.3151750972762646, 2, 0.11555555555555555, 0.26264591439688717, 2, 0.7911111111111111, 0.3949416342412451, 1, 0.16444444444444445, 0.4066147859922179, 2, 0.6222222222222222, 0.4805447470817121, 2, 0.4266666666666667, 0.4649805447470817, 2, 0.6, 0.7276264591439688, 2, 0.5688888888888889, 0.7198443579766537, 2]","[0.3933333333333333, 0.8910505836575875]"
421,712,"[0, 40, 348, 734]","[0.7561065449422407, 0.11721073130583305, 2, 0, 0, 0, 0.7223780561592136, 0.10401598042697643, 2, 0, 0, 0, 0.6331380962541215, 0.11354608964309953, 2, 0.8419540229885057, 0.2016348773841962, 1, 0.5287356321839081, 0.20027247956403268, 2, 0.8419540229885057, 0.3692098092643052, 1, 0.3160919540229885, 0.32833787465940056, 1, 0.9655172413793104, 0.4604904632152589, 1, 0.47126436781609193, 0.43869209809264303, 2, 0.6925287356321839, 0.5054495912806539, 2, 0.5, 0.5, 2, 0.8333333333333334, 0.6920980926430518, 2, 0.3074712643678161, 0.6880108991825613, 2]","[0.4353448275862069, 0.8453678474114441]"
423,715,"[123, 140, 366, 860]","[0.5577842405680545, 0.09895258016465693, 2, 0.6231432616161523, 0.08603820216852534, 2, 0, 0, 0, 0.7305187961951701, 0.12080768138887966, 2, 0, 0, 0, 0.860655737704918, 0.2302325581395349, 2, 0.3360655737704918, 0.22674418604651161, 2, 0.7786885245901639, 0.4232558139534884, 2, 0.34972677595628415, 0.413953488372093, 2, 0.5737704918032787, 0.522093023255814, 2, 0.45081967213114754, 0.5209302325581395, 2, 0.7213114754098361, 0.4941860465116279, 2, 0.40437158469945356, 0.4872093023255814, 2, 0.7295081967213115, 0.6104651162790697, 2, 0.21584699453551912, 0.5825581395348837, 2]","[0.4262295081967213, 0.8703488372093023]"
423,716,"[131, 23, 279, 904]","[0.543503397656861, 0.14130799025261473, 2, 0.5997613631984217, 0.11946446602132288, 2, 0.47998633978735683, 0.11834428529151308, 2, 0.7013886557896281, 0.11274338164246388, 2, 0.40739541650792366, 0.10490211653379501, 2, 0.8315412186379928, 0.19579646017699115, 1, 0.25448028673835127, 0.19690265486725664, 2, 0.9354838709677419, 0.29646017699115046, 1, 0.1111111111111111, 0.3064159292035398, 2, 0.6594982078853047, 0.206858407079646, 1, 0.3655913978494624, 0.21460176991150443, 2, 0.7060931899641577, 0.5486725663716814, 1, 0.34767025089605735, 0.5442477876106194, 1, 0.6272401433691757, 0.7577433628318584, 1, 0.3906810035842294, 0.7621681415929203, 1]","[0.5053763440860215, 0.9264380530973452]"
424,717,"[131, 76, 256, 423]","[0.32231002862063907, 0.15523698172333458, 2, 0.33525010324894544, 0.13286170914753967, 2, 0.27054973010741346, 0.13286170914753967, 2, 0, 0, 0, 0.15224047636289795, 0.14628687269301657, 2, 0.17578125, 0.26713947990543735, 2, 0.3046875, 0.2647754137115839, 2, 0.43359375, 0.2458628841607565, 1, 0.5546875, 0.32860520094562645, 2, 0.65625, 0.2222222222222222, 1, 0.70703125, 0.25059101654846333, 2, 0.1875, 0.5768321513002365, 2, 0.30078125, 0.5839243498817966, 2, 0.30078125, 0.6524822695035462, 2, 0.63671875, 0.7021276595744681, 2]","[0.462890625, 0.8770685579196218]"
426,719,"[132, 53, 399, 917]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.40078502279891953, 0.09004479015305539, 2, 0.13032581453634084, 0.19738276990185388, 2, 0.3132832080200501, 0.2159214830970556, 1, 0.3308270676691729, 0.2846237731733915, 2, 0.518796992481203, 0.32061068702290074, 2, 0.5914786967418546, 0.25081788440567065, 1, 0.8020050125313283, 0.31297709923664124, 2, 0.14035087719298245, 0.495092693565976, 2, 0.2907268170426065, 0.5038167938931297, 2, 0.19298245614035087, 0.6870229007633588, 2, 0.40601503759398494, 0.693565976008724, 2]","[0.17418546365914786, 0.9089422028353326]"
426,720,"[160, 66, 415, 904]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6222271671777784, 0.09067213004797378, 2, 0.40481927710843374, 0.1670353982300885, 2, 0.7807228915662651, 0.18584070796460178, 2, 0.06265060240963856, 0.14823008849557523, 2, 0.9397590361445783, 0.31194690265486724, 2, 0.3253012048192771, 0.11283185840707964, 1, 0.6867469879518072, 0.2345132743362832, 2, 0.5493975903614458, 0.49668141592920356, 2, 0.7469879518072289, 0.4922566371681416, 2, 0.5951807228915663, 0.6924778761061947, 2, 0.7975903614457831, 0.7079646017699115, 2]","[0.6638554216867469, 0.904867256637168]"
427,721,"[65, 54, 523, 925]","[0.6758937952021584, 0.1397896672937376, 2, 0.7022879634322917, 0.11728223621600446, 2, 0.6352208146508056, 0.11532506829620158, 2, 0.728682131662425, 0.13000382769472318, 2, 0.565124826892091, 0.12339838596538845, 2, 0.8202676864244742, 0.22378378378378377, 2, 0.491395793499044, 0.21297297297297296, 2, 0.9369024856596558, 0.35027027027027025, 2, 0.27724665391969405, 0.3016216216216216, 2, 0.8393881453154876, 0.4508108108108108, 2, 0.11281070745697896, 0.39135135135135135, 2, 0.6883365200764818, 0.534054054054054, 2, 0.5219885277246654, 0.5275675675675676, 2, 0.5334608030592735, 0.7351351351351352, 2, 0.5430210325047801, 0.7264864864864865, 2]","[0.43307839388145314, 0.8913513513513514]"
427,722,"[142, 22, 447, 930]","[0.7736692878774951, 0.1429619528075431, 2, 0.8108228356914117, 0.12920949200567697, 2, 0.7429215241694263, 0.126541104088897, 2, 0.8539551153374526, 0.14439877707042464, 2, 0, 0, 0, 0.9038031319910514, 0.24193548387096775, 2, 0.5279642058165548, 0.22473118279569892, 1, 0.8859060402684564, 0.34946236559139787, 1, 0.41834451901565994, 0.35913978494623655, 1, 0.8523489932885906, 0.410752688172043, 1, 0.47874720357941836, 0.45376344086021503, 1, 0.6666666666666666, 0.535483870967742, 1, 0.48322147651006714, 0.5268817204301075, 1, 0.43847874720357943, 0.7139784946236559, 1, 0.6241610738255033, 0.7075268817204301, 2]","[0.3646532438478747, 0.8930107526881721]"
429,725,"[394, 38, 232, 590]","[0.5767193091398556, 0.09360287875355217, 2, 0.6378502938195396, 0.07774279032923014, 2, 0.5433178432839455, 0.07675153480270999, 2, 0.7412057730717893, 0.10698482836157393, 2, 0, 0, 0, 0.853448275862069, 0.22033898305084745, 2, 0.3706896551724138, 0.19491525423728814, 2, 0.9525862068965517, 0.37796610169491524, 2, 0.1336206896551724, 0.2830508474576271, 1, 0.9137931034482759, 0.5050847457627119, 2, 0.13793103448275862, 0.15423728813559323, 2, 0.6982758620689655, 0.5271186440677966, 2, 0.4051724137931034, 0.5288135593220339, 2, 0.6508620689655172, 0.7169491525423729, 2, 0.38362068965517243, 0.7135593220338983, 2]","[0.540948275862069, 0.9228813559322033]"
430,728,"[122, 197, 254, 547]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.30739321283647003, 0.11212362487524656, 2, 0, 0, 0, 0.6377952755905512, 0.054844606946983544, 2, 0.17716535433070865, 0.07312614259597806, 2, 0.7795275590551181, 0.2376599634369287, 2, 0.1377952755905512, 0.263254113345521, 2, 0.47244094488188976, 0.2577696526508227, 2, 0.1889763779527559, 0.21389396709323583, 2, 0.8110236220472441, 0.4113345521023766, 2, 0.6023622047244095, 0.4259597806215722, 1, 0.8818897637795275, 0.6288848263254113, 2, 0.6614173228346457, 0.6471663619744058, 1]","[0.7716535433070866, 0.8756855575868373]"
431,730,"[377, 91, 333, 800]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0.539606075323046, 0.14470641245881893, 2, 0.7405851467867829, 0.15017422543246473, 2, 0.42042042042042044, 0.225, 2, 0.8828828828828829, 0.26625, 2, 0.29429429429429427, 0.195, 2, 0.9429429429429429, 0.41, 2, 0.3783783783783784, 0.09, 2, 0.8918918918918919, 0.5325, 2, 0.47147147147147145, 0.525, 2, 0.6366366366366366, 0.5275, 2, 0.3033033033033033, 0.7225, 2, 0.6696696696696697, 0.75, 2]","[0.47447447447447444, 0.933125]"
431,731,"[370, 154, 297, 729]","[0.5080684812246894, 0.09613427664729358, 2, 0.5336209491015967, 0.07785847863492114, 2, 0.45412438237344044, 0.07808981785026764, 2, 0.5681065586126051, 0.08300784347421435, 2, 0.32768447916524557, 0.0895651479810693, 2, 0.6397306397306397, 0.19204389574759945, 1, 0.16498316498316498, 0.19615912208504802, 2, 0.6397306397306397, 0.3388203017832647, 1, 0.06060606060606061, 0.3717421124828532, 2, 0.8686868686868687, 0.3223593964334705, 1, 0.10437710437710437, 0.4787379972565158, 2, 0.5521885521885522, 0.5349794238683128, 1, 0.2962962962962963, 0.5390946502057613, 2, 0.5286195286195287, 0.7421124828532236, 2, 0.2727272727272727, 0.7270233196159122, 2]","[0.3602693602693603, 0.924554183813443]"
432,732,"[55, 15, 245, 651]","[0.6061029273148592, 0.20774992484684673, 2, 0.6969900500065146, 0.17494120928227067, 2, 0.5281996792934402, 0.16586645816866452, 2, 0.7860223334595647, 0.19518488484339205, 2, 0, 0, 0, 0.8612244897959184, 0.3271889400921659, 1, 0.2571428571428571, 0.33947772657450076, 1, 0.8775510204081632, 0.4592933947772657, 2, 0.08979591836734693, 0.44086021505376344, 2, 0.8408163265306122, 0.5791090629800307, 2, 0.5428571428571428, 0.3932411674347158, 2, 0.763265306122449, 0.5898617511520737, 2, 0.3306122448979592, 0.6067588325652842, 2, 0.7836734693877551, 0.8341013824884793, 2, 0.42448979591836733, 0.8187403993855606, 2]","[0.6959183673469388, 0.9769585253456221]"
432,733,"[18, 106, 315, 482]","[0.3678415727016036, 0.17282916289081984, 2, 0.40611554623875934, 0.14728389583503299, 2, 0.29617966480224817, 0.1738935490181443, 2, 0.5193087871252413, 0.1824086380367399, 2, 0, 0, 0, 0.6253968253968254, 0.2572614107883817, 2, 0.24126984126984127, 0.33402489626556015, 2, 0.7968253968253968, 0.22406639004149378, 2, 0.08253968253968254, 0.2551867219917012, 2, 0.780952380952381, 0.0912863070539419, 2, 0.12063492063492064, 0.12863070539419086, 2, 0.726984126984127, 0.524896265560166, 1, 0.48253968253968255, 0.6037344398340249, 2, 0.9079365079365079, 0.6535269709543569, 2, 0.6190476190476191, 0.7634854771784232, 2]","[0.8841269841269841, 0.8765560165975104]"
434,737,"[9, 105, 710, 774]","[0.47806730754825244, 0.0882207105272024, 2, 0.5010051737080411, 0.06853701192630013, 2, 0, 0, 0, 0.5668590475216281, 0.08041510590960321, 2, 0, 0, 0, 0.6507042253521127, 0.18863049095607234, 2, 0.5, 0.1524547803617571, 2, 0.704225352112676, 0.3385012919896641, 2, 0.3845070422535211, 0.28552971576227393, 2, 0.5774647887323944, 0.3281653746770026, 2, 0.44647887323943664, 0.22997416020671835, 1, 0.5126760563380282, 0.4909560723514212, 2, 0.571830985915493, 0.49224806201550386, 2, 0.34507042253521125, 0.6214470284237726, 2, 0.6549295774647887, 0.7131782945736435, 2]","[0.5288732394366198, 0.853359173126615]"
435,739,"[63, 164, 291, 659]","[0.4164801753461471, 0.12392906613353045, 2, 0.45405036928653575, 0.10200633265444065, 2, 0.35744129915410766, 0.11109142941154093, 2, 0, 0, 0, 0.2894571386905471, 0.12096653458230214, 2, 0.584192439862543, 0.1471927162367223, 1, 0.26804123711340205, 0.15174506828528073, 2, 0.8109965635738832, 0.17147192716236723, 2, 0.21993127147766323, 0.20485584218512898, 2, 0.6735395189003437, 0.22003034901365706, 2, 0.5017182130584192, 0.2321699544764795, 2, 0.6082474226804123, 0.37784522003034904, 1, 0.30927835051546393, 0.37936267071320184, 1, 0.9278350515463918, 0.4294385432473445, 2, 0.21305841924398625, 0.4385432473444613, 2]","[0.5687285223367697, 0.6267071320182094]"
438,744,"[82, 55, 298, 685]","[0.3380865652609985, 0.10791237082217295, 2, 0.38225213567588867, 0.07989248642878452, 2, 0.2957612269467287, 0.0806930545543099, 2, 0.45770165180132627, 0.09110044018613989, 2, 0.25343588863245886, 0.09510328081376679, 2, 0.5503355704697986, 0.21313868613138687, 2, 0.1342281879194631, 0.21313868613138687, 2, 0.6040268456375839, 0.3518248175182482, 1, 0.08389261744966443, 0.3562043795620438, 2, 0.8657718120805369, 0.3795620437956204, 1, 0.07718120805369127, 0.46277372262773725, 2, 0.412751677852349, 0.48613138686131385, 2, 0.2181208053691275, 0.48613138686131385, 2, 0.3859060402684564, 0.7021897810218978, 2, 0.2348993288590604, 0.7021897810218978, 2]","[0.2936241610738255, 0.9043795620437955]"
